Time,Data do,DsOsieczow21-As(cdepoz)-1m,DsOsieczow21-BaA(cdepoz)-1m,DsOsieczow21-BaP(cdepoz)-1m,DsOsieczow21-BbF(cdepoz)-1m,DsOsieczow21-BjF(cdepoz)-1m,DsOsieczow21-BkF(cdepoz)-1m,DsOsieczow21-Cd(cdepoz)-1m,DsOsieczow21-DBahA(cdepoz)-1m,DsOsieczow21-Hg(cdepoz)-1m,DsOsieczow21-IP(cdepoz)-1m,DsOsieczow21-Ni(cdepoz)-1m,KpZielBoryTu-As(cdepoz)-1m,KpZielBoryTu-BaA(cdepoz)-1m,KpZielBoryTu-BaP(cdepoz)-1m,KpZielBoryTu-BbF(cdepoz)-1m,KpZielBoryTu-BjF(cdepoz)-1m,KpZielBoryTu-BkF(cdepoz)-1m,KpZielBoryTu-Cd(cdepoz)-1m,KpZielBoryTu-DBahA(cdepoz)-1m,KpZielBoryTu-Hg(cdepoz)-1m,KpZielBoryTu-IP(cdepoz)-1m,KpZielBoryTu-Ni(cdepoz)-1m,WmPuszczaBor-As(cdepoz)-1m,WmPuszczaBor-BaA(cdepoz)-1m,WmPuszczaBor-BaP(cdepoz)-1m,WmPuszczaBor-BbF(cdepoz)-1m,WmPuszczaBor-BjF(cdepoz)-1m,WmPuszczaBor-BkF(cdepoz)-1m,WmPuszczaBor-Cd(cdepoz)-1m,WmPuszczaBor-DBahA(cdepoz)-1m,WmPuszczaBor-Hg(cdepoz)-1m,WmPuszczaBor-IP(cdepoz)-1m,WmPuszczaBor-Ni(cdepoz)-1m,Rok,2023,Unnamed: 3,2023.1,Unnamed: 5,2023.2,Unnamed: 7,2023.3,Unnamed: 9,2023.4,Unnamed: 11,2023.5,Unnamed: 13,2023.6,Unnamed: 15,2023.7,Unnamed: 17,2023.8,Unnamed: 19,Unnamed: 20,Unnamed: 21,2023.9,Unnamed: 23,2023.10,Unnamed: 25,2023.11,Unnamed: 27,2023.12,Unnamed: 29,2023.13,Unnamed: 31,2023.14,Unnamed: 33,2023.15,Unnamed: 35,2023.16,Unnamed: 37,2023.17,Unnamed: 39,2023.18,Unnamed: 41,2023.19,Unnamed: 43,Unnamed: 44,Unnamed: 45,2023.20,Unnamed: 47,2023.21,Unnamed: 49,Unnamed: 50,2023.22,Unnamed: 52,2023.23,Unnamed: 54,2023.24,Unnamed: 56,2023.25,Unnamed: 58,2023.26,Unnamed: 60,2023.27,Unnamed: 62,2023.28,Unnamed: 64,Unnamed: 65,Unnamed: 66,2023.29,Unnamed: 68,2023.30,Unnamed: 70,Unnamed: 71,Unnamed: 72,2023.31,Unnamed: 74,2023.32,Unnamed: 76,Unnamed: 77,Unnamed: 78
2021-03-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.158854,0.029641,0.037232,0.051246,0.028401,0.020345,0.028883,0.005459,0.005044,0.049604,0.180516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01T00:00:00,,0.293618,0.027351,0.03609,0.071999,0.037854,0.031051,0.019119,0.022841,0.00478,0.049775,1.242757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01T00:00:00,,,,,,,,,,,,,0.280645,0.017697,0.017364,0.026011,0.013344,0.011438,0.014032,0.001481,0.014257,0.016698,0.56129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.338032,0.037373,0.051698,0.062414,0.023987,0.02626,0.10986,0.003871,0.031038,0.056578,0.253524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31T00:00:00,,0.43511,0.055461,0.065348,0.085771,0.048385,0.03657,0.060286,0.01576,0.004587,0.059959,3.632906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01T00:00:00,,,,,,,,,,,,,0.213636,0.00485,0.004017,0.000842,0.002392,0.004792,0.044436,0.000633,0.005127,0.004408,0.427273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.572905,0.017764,0.030087,0.032889,0.013537,0.014233,0.133678,0.002948,0.005692,0.033731,0.572905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04T00:00:00,,0.32353,0.003524,0.001217,0.009654,0.008821,0.003107,0.087896,0.00109,0.005648,0.005009,3.48216,0.237037,0.003736,0.003852,0.006548,0.000799,0.003226,0.026548,0.000491,0.010904,0.004247,0.474074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.195937,0.003964,0.009486,0.00885,0.004192,0.003846,0.019594,0.000758,0.00238,0.007499,0.489841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31T00:00:00,,0.105995,0.000436,0.000903,0.000178,0.000177,5.4e-05,0.034978,2.6e-05,0.008951,0.000162,0.41338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
