Time,PM10,
2019-05-10T18:00:00,8.75625,
2019-05-10T19:00:00,8.0128,
2019-05-10T20:00:00,6.94572,
2019-05-10T21:00:00,12.2533,
2019-05-10T22:00:00,6.70587,
2019-05-10T23:00:00,8.33105,
2019-05-11T00:00:00,15.5741,
2019-05-11T01:00:00,18.3749,
2019-05-11T02:00:00,20.9092,
2019-05-11T03:00:00,20.1575,
2019-05-11T04:00:00,19.4938,
2019-05-11T05:00:00,20.4957,
2019-05-11T06:00:00,17.6017,
2019-05-11T07:00:00,19.7303,
2019-05-11T08:00:00,13.5223,
2019-05-11T09:00:00,6.38859,
2019-05-11T10:00:00,5.95513,
2019-05-11T11:00:00,9.98018,
2019-05-11T12:00:00,13.8097,
2019-05-11T13:00:00,18.5706,
2019-05-11T14:00:00,17.4183,
2019-05-11T15:00:00,14.4639,
2019-05-11T16:00:00,13.3339,
2019-05-11T17:00:00,18.6527,
2019-05-11T18:00:00,21.75,
2019-05-11T19:00:00,13.5097,
2019-05-11T20:00:00,17.1288,
2019-05-11T21:00:00,14.6175,
2019-05-11T22:00:00,25.851,
2019-05-11T23:00:00,21.4279,
2019-05-12T00:00:00,15.5991,
2019-05-12T01:00:00,10.298,
2019-05-12T02:00:00,9.87224,
2019-05-12T03:00:00,5.06118,
2019-05-12T04:00:00,4.97703,
2019-05-12T05:00:00,3.01028,
2019-05-12T06:00:00,7.39539,
2019-05-12T07:00:00,6.92799,
2019-05-12T08:00:00,8.97058,
2019-05-12T09:00:00,6.94872,
2019-05-12T10:00:00,11.5465,
2019-05-12T11:00:00,11.1084,
2019-05-12T12:00:00,11.1814,
2019-05-12T13:00:00,10.6228,
2019-05-12T14:00:00,13.4951,
2019-05-12T15:00:00,11.841,
2019-05-12T16:00:00,12.9471,
2019-05-12T17:00:00,9.8557,
2019-05-12T18:00:00,7.05855,
2019-05-12T19:00:00,13.6714,
2019-05-12T20:00:00,16.3236,
2019-05-12T21:00:00,9.82654,
2019-05-12T22:00:00,13.1636,
2019-05-12T23:00:00,7.75761,
2019-05-13T00:00:00,12.1234,
2019-05-13T01:00:00,12.5101,
2019-05-13T02:00:00,18.8057,
